Timestamp,FIT101,LIT101,MV101,P101,P102,AIT201,AIT202,AIT203,FIT201,MV201,P201,P202,P203,P204,P205,P206,DPIT301,FIT301,LIT301,MV301,MV302,MV303,MV304,P301,P302,AIT401,AIT402,FIT401,LIT401,P401,P402,P403,P404,UV401,AIT501,AIT502,AIT503,AIT504,FIT501,FIT502,FIT503,FIT504,P501,P502,PIT501,PIT502,PIT503,FIT601,P601,P602,P603,Normal/Attack
22/12/2015 04:30:00 PM,"102,483571","106,996777","96,624109","90,460962","95,682532","97,881202","94,429593","103,925925","99,834874","103,827011","96,607526","94,109102","105,874070","100,058682","98,878795","99,282884","104,396536","98,300894","101,609176","101,325535","101,741431","112,555663","93,211838","110,994185","96,643132","100,854368","99,293284","96,081199","108,827963","102,973991","90,097140","93,402585","103,660071","97,403275","110,851274","104,570489","102,832979","94,035316","101,999294","101,869903","97,640712","97,141042","97,688142","96,386469","103,062803","105,248912","102,560151","94,719208","103,037855","112,071239","100,491031",Normal
22/12/2015 04:30:01 PM,"99,308678","104,623168","99,277407","95,698075","99,843983","97,732929","96,845346","91,111595","97,481749","105,367064","98,472503","102,164252","90,605095","102,637193","98,945826","99,836720","100,196546","100,910674","96,093212","97,697383","101,416618","99,900342","99,366054","101,716777","96,431003","100,061277","94,087400","105,820172","103,402753","102,767448","94,725072","104,579814","91,942172","103,516005","99,095129","108,122436","99,197090","102,052599","105,296224","100,822990","105,063512","101,343738","104,340210","93,906067","106,959858","96,097336","100,707861","103,818832","96,355764","96,817187","99,679459",Normal
22/12/2015 04:30:02 PM,"103,238443","100,298152","96,037900","97,931972","100,090084","91,021784","95,289699","103,573728","99,138125","102,493450","97,013095","105,553766","98,361025","91,944986","111,177137","100,321474","95,438372","106,798859","103,456782","98,309066","95,317401","98,437165","105,768843","98,832051","107,127030","97,844225","99,401471","103,914388","103,371496","116,772867","97,064858","94,686441","96,618270","98,115425","92,757913","101,727586","102,023741","99,835155","95,324117","100,439529","99,009066","98,314993","98,767497","96,816196","101,709856","105,997018","100,854064","103,705549","98,652739","102,719293","104,758954",Normal
22/12/2015 04:30:03 PM,"107,615149","96,765316","98,460192","109,438438","102,363152","98,349549","97,260021","98,831380","103,573659","90,287512","100,552090","103,775925","99,791700","95,400509","104,046555","104,734307","97,687504","99,776456","97,048192","97,119874","102,897921","97,388200","100,343257","104,884914","109,322068","99,987367","100,739978","99,893636","95,512867","94,614346","100,748345","105,072540","93,159760","98,363250","97,480532","98,724395","101,759545","97,647086","104,528116","93,379065","100,452846","101,809129","100,120866","103,287797","99,897344","99,694371","98,304782","104,923388","98,900768","104,633721","107,664156",Normal
22/12/2015 04:30:04 PM,"98,829233","103,491117","90,531927","102,782766","93,165708","103,664145","98,929248","103,537289","106,389283","99,222888","105,985893","105,422388","100,079543","99,259107","112,403255","96,263913","101,714267","95,569437","103,747775","109,586298","92,549587","101,881835","104,695445","104,210344","95,355588","102,454208","102,594173","100,721687","108,845310","96,870076","105,120812","100,050965","100,946505","96,782558","104,235300","94,666376","97,454897","105,281493","90,687057","94,867874","103,586953","102,736963","99,607893","97,829774","103,627607","104,280766","99,697257","104,189700","99,922795","100,505914","103,434235",Normal
22/12/2015 04:30:05 PM,"98,829315","101,967427","101,066469","93,322592","102,962836","93,628839","104,185772","103,884658","102,852437","94,221462","96,144789","98,940552","100,902480","95,566675","97,515184","95,768265","109,092322","91,901551","98,629443","107,319504","96,729078","101,932913","97,039429","87,405845","96,655028","99,369189","100,385790","99,958010","106,883590","104,079611","103,470680","97,206213","93,383278","95,855296","96,136774","99,437424","98,223101","97,038597","100,215634","103,741402","99,705183","96,184122","95,539003","100,834604","102,387898","96,163440","94,462693","105,435728","100,730217","106,929140","105,057719",Normal
22/12/2015 04:30:06 PM,"107,896064","104,475966","100,006027","102,430181","86,478042","105,242413","98,394205","108,039575","100,508616","98,986971","105,004102","97,666905","103,052199","95,922041","99,575167","106,183099","97,579902","102,565239","91,394764","102,776471","90,004561","104,753139","95,950416","99,986322","105,712614","102,098838","95,595253","102,435046","95,782050","98,998681","94,103376","108,002009","90,094764","101,770887","92,589362","101,015632","103,000636","102,107815","97,270390","102,795757","90,910761","99,081370","99,143646","105,585590","104,426456","90,165775","99,976170","102,031582","93,477011","109,976066","98,912979",Normal
22/12/2015 04:30:07 PM,"103,837174","103,175859","95,914557","92,263480","96,850577","102,438874","92,071871","106,767268","107,490059","104,900021","96,091640","96,315493","99,822963","98,250687","93,339371","97,686776","104,023937","101,236441","95,087919","106,626545","107,793133","95,369689","104,244369","98,027003","102,667600","95,816656","110,060150","96,002492","97,626184","97,684745","98,141439","99,655725","98,812613","102,418531","96,240912","92,684640","109,060439","105,873222","92,977293","101,910600","105,202938","99,229415","97,710914","102,999021","99,340318","91,755951","97,544492","109,014705","101,561792","94,451942","100,627024",Normal
22/12/2015 04:30:08 PM,"97,652628","105,247764","103,296228","105,413455","97,558631","96,328833","105,700339","106,732858","98,435818","101,525754","95,761864","99,720518","98,159709","103,247907","95,952166","93,684823","98,359718","96,770459","97,847926","103,992307","98,842253","98,437526","101,846328","101,983528","103,382141","96,980532","104,145634","104,312524","106,273280","104,787557","100,381878","98,190939","88,954605","101,135742","97,333170","104,607365","106,034093","98,304346","95,532389","97,067437","106,274644","104,791363","96,540964","93,618601","104,546252","112,514512","94,376004","101,468253","98,279333","100,580730","107,428660",Normal
22/12/2015 04:30:09 PM,"102,712800","97,323824","104,687851","97,644377","103,166634","99,292352","95,814549","107,218352","105,154597","105,740454","104,092973","99,607046","97,962053","98,286411","109,509566","97,574350","100,552344","105,130071","106,840945","100,906356","110,834420","110,152729","94,072020","99,031709","104,483006","96,328397","102,763599","101,767829","108,980737","98,667158","98,688964","104,545590","101,293691","96,919082","94,586652","97,880430","94,354420","90,854506","96,796721","103,825950","90,844420","97,674186","94,708455","102,239799","104,288082","97,010299","103,773596","109,996319","105,422215","104,578384","102,633557",Normal
